Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"R11"	,"0603WAF1002T5E"	,"R0603"	,"5565mil"	,"-735mil"	,"5565mil"	,"-735mil"	,"5535.3mil"	,"-735mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R12"	,"0603WAF1002T5E"	,"R0603"	,"5565mil"	,"-665mil"	,"5565mil"	,"-665mil"	,"5535.3mil"	,"-665mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R1"	,"0603WAF1002T5E"	,"R0603"	,"5425mil"	,"-480mil"	,"5425mil"	,"-480mil"	,"5395.3mil"	,"-480mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"C6"	,"CC0603KRX7R9BB104"	,"C0603"	,"5350mil"	,"-75mil"	,"5350mil"	,"-75mil"	,"5377.6mil"	,"-75mil"	,"2"	,"T"	,"180"	,"Yes"	,"100nF"	,
"Q4"	,"S8050_C5184427"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"5510mil"	,"-1030mil"	,"5510mil"	,"-1030mil"	,"5470.6mil"	,"-992.6mil"	,"3"	,"T"	,"180"	,"Yes"	,"S8050"	,
"R28"	,"0603WAF1002T5E"	,"R0603"	,"5370mil"	,"-945mil"	,"5370mil"	,"-945mil"	,"5399.7mil"	,"-945mil"	,"2"	,"T"	,"180"	,"Yes"	,"10kΩ"	,
"C17"	,"CC0603KRX7R9BB104"	,"C0603"	,"6165mil"	,"-1430mil"	,"6165mil"	,"-1430mil"	,"6137.4mil"	,"-1430mil"	,"2"	,"B"	,"0"	,"Yes"	,"100nF"	,
"R21"	,"0603WAF1002T5E"	,"R0603"	,"6305mil"	,"-1005mil"	,"6305mil"	,"-1005mil"	,"6275.3mil"	,"-1005mil"	,"2"	,"B"	,"0"	,"Yes"	,"10kΩ"	,
"C19"	,"CC0603KRX7R9BB104"	,"C0603"	,"6295mil"	,"-1370mil"	,"6295mil"	,"-1370mil"	,"6322.6mil"	,"-1370mil"	,"2"	,"B"	,"180"	,"Yes"	,"100nF"	,
"C23"	,"CC0603KRX7R9BB104"	,"C0603"	,"5865mil"	,"10mil"	,"5865mil"	,"10mil"	,"5892.6mil"	,"10mil"	,"2"	,"T"	,"180"	,"Yes"	,"100nF"	,
"R8"	,"0603WAF1002T5E"	,"R0603"	,"5570mil"	,"10mil"	,"5570mil"	,"10mil"	,"5540.3mil"	,"10mil"	,"2"	,"B"	,"0"	,"Yes"	,"10kΩ"	,
"C25"	,"0603B222K500NT"	,"C0603"	,"5865mil"	,"-65mil"	,"5865mil"	,"-65mil"	,"5892.6mil"	,"-65mil"	,"2"	,"T"	,"180"	,"Yes"	,"2.2nF"	,
"C10"	,"CL10A106KP8NNNC"	,"C0603"	,"6170mil"	,"-1005mil"	,"6170mil"	,"-1005mil"	,"6142.4mil"	,"-1005mil"	,"2"	,"B"	,"0"	,"Yes"	,"10uF"	,
"FPC3"	,"AFC24-S10FIA-00"	,"FPC-SMD_P0.50-10P_QCHF-SM-H2.0"	,"5360mil"	,"-1240mil"	,"5360mil"	,"-1240mil"	,"5271.4mil"	,"-1178mil"	,"12"	,"T"	,"180"	,"Yes"	,"AFC24-S10FIA-00"	,
